;Γυμναστική (γενική κατηγορία - μετράμε ποσοστά ολοκλήρωσης);Ριζογκοφρέτα;Τσάι για τσιγάρο;Γάλα για τσιγάρο;Πχ hot dog;Μπισκότο;Εξωτερικό φαγητό;ΣΚ πρωινο;Παγωτό;Τυρόπιτα;Πατατάκια γουακαμολε;Γιαούρτι κυλικείου;Χυμός;Έξτρα Φαγητό;trend
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77.97
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.15
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.16
;75.0;3.0;4.0;2.0;1.0;0;0;0;0;0;0;0;0;0;78.25
;0;2.0;1.0;5.0;0;1.0;1.0;0;0;0;0;0;0;0;78.28
;44.0;1.0;2.0;2.0;0;0;0;1.0;0;0;0;0;0;0;78.29
;0;0;1.0;0;0;0;1.0;0;1.0;2.0;0;0;0;0;78.34
